L1_Category,L1_Description,Count,Percentage,Number_of_Annotations
No annotation,No functional annotation found,1172,36.62%,1
protein synthesis,component of protein synthesis translational machinery,1043,32.59%,2
post-transcriptional processing,nucleic acid involved in processing RNA transcripts,251,7.84%,5
riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,192,6.00%,7
Unknown Category,,153,4.78%,1
catalytic,"nucleic acid enzyme, ribozyme or dnazyme",141,4.41%,10
translation regulating,mRNA element or RNA complex component that regulates protein synthesis,96,3.00%,5
virus NA,nucleic acid associated with virus infectivity or replication,49,1.53%,1
transcription regulating,mRNA element or RNA complex component that regulates transcription,44,1.38%,5
aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,38,1.19%,2
other/unknown,characterized non-coding nucleic acid with unassigned biological function,11,0.34%,3
telomeric DNA,telomeric DNA,6,0.19%,1
replication regulating,nucleic acid element or complex component that regulates genomic or plasmid replication,4,0.12%,1
