Functional_Annotation,L1_Category,L1_Description,Count,Percentage
NULL,No annotation,No functional annotation found,1172,36.62%
ribosomalrna,protein synthesis,component of protein synthesis translational machinery,633,19.78%
trna,protein synthesis,component of protein synthesis translational machinery,410,12.81%
codingrna,Unknown Category,,153,4.78%
snrna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,140,4.38%
snorna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,97,3.03%
purineswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,88,2.75%
vitaminswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,75,2.34%
virusna,virus NA,nucleic acid associated with virus infectivity or replication,49,1.53%
nazyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",46,1.44%
rnaires,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,40,1.25%
srprna,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,32,1.00%
aptamer,aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,23,0.72%
fluoroaptamer,aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,15,0.47%
frameshift,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,15,0.47%
group1intron,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",15,0.47%
ribonucleasep,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",15,0.47%
hairpin,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",13,0.41%
hivtar,transcription regulating,mRNA element or RNA complex component that regulates transcription,13,0.41%
aaswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,12,0.38%
group2intron,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",12,0.38%
hammerhead,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",12,0.38%
antiterminator,transcription regulating,mRNA element or RNA complex component that regulates transcription,11,0.34%
ionswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,11,0.34%
natransfactor,transcription regulating,mRNA element or RNA complex component that regulates transcription,10,0.31%
otherna,other/unknown,characterized non-coding nucleic acid with unassigned biological function,9,0.28%
vsribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",9,0.28%
selfreplicating,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",8,0.25%
7sksnrna,transcription regulating,mRNA element or RNA complex component that regulates transcription,7,0.22%
cellsorting,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,7,0.22%
hdvribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",6,0.19%
telomere,telomeric DNA,telomeric DNA,6,0.19%
glmsribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",5,0.16%
posttranscription,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,5,0.16%
translatemod,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,5,0.16%
replication,replication regulating,nucleic acid element or complex component that regulates genomic or plasmid replication,4,0.12%
tmrna,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,4,0.12%
riboswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,3,0.09%
transcription,transcription regulating,mRNA element or RNA complex component that regulates transcription,3,0.09%
abswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,2,0.06%
altsplice,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,2,0.06%
olerna,other/unknown,characterized non-coding nucleic acid with unassigned biological function,1,0.03%
raiarna,other/unknown,characterized non-coding nucleic acid with unassigned biological function,1,0.03%
tboxswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,1,0.03%
