RFAM_Family,rna_cm,rna_go,rna_if,rna_if_bench,rna_ligand,rna_prot,rna_site,rna_site_bench
NULL,142,0,1591,0,0,831,157,57
RF00001,0,0,7,0,0,0,0,0
RF00002,1,0,15,0,0,6,1,0
RF00003,0,0,3,0,0,1,0,0
RF00004,1,103,48,0,0,16,2,0
RF00005,21,0,183,0,0,99,26,1
RF00007,0,0,1,0,0,0,0,0
RF00009,0,0,1,0,0,3,0,0
RF00010,0,0,3,0,0,2,0,0
RF00011,0,0,3,0,0,2,0,0
RF00013,0,0,1,0,0,1,0,0
RF00015,0,20,6,0,0,0,1,0
RF00017,0,14,6,0,0,0,1,0
RF00020,0,101,47,0,0,17,3,0
RF00023,1,0,2,0,0,2,0,0
RF00024,0,0,6,0,0,4,0,0
RF00025,0,0,0,0,0,1,0,0
RF00026,0,14,11,0,0,7,1,0
RF00027,0,0,6,0,0,4,0,0
RF00028,0,0,4,0,0,2,0,0
RF00029,0,3,3,0,0,2,0,0
RF00030,0,0,4,0,0,3,0,0
RF00032,0,0,1,0,0,1,0,0
RF00037,0,0,1,0,0,1,0,0
RF00044,0,0,1,0,0,0,0,0
RF00050,1,0,2,0,0,1,0,0
RF00059,1,0,5,0,0,2,0,1
RF00075,0,0,1,0,0,0,0,0
RF00080,0,0,2,0,0,0,0,0
RF00083,0,0,4,0,0,3,0,0
RF00094,0,0,3,0,0,1,1,0
RF00100,1,0,5,0,0,2,1,0
RF00102,0,0,1,0,0,1,0,0
RF00162,0,29,23,0,0,2,0,1
RF00163,0,0,1,0,0,0,0,0
RF00164,0,0,1,0,0,1,0,0
RF00166,0,0,1,0,0,0,0,0
RF00167,1,58,24,0,0,2,0,0
RF00168,1,0,2,0,0,1,0,0
RF00169,0,11,4,0,0,1,1,0
RF00174,1,0,4,0,0,3,0,0
RF00175,0,0,3,0,0,0,0,0
RF00177,2,0,66,0,89,11,5,0
RF00207,0,0,5,0,0,0,0,0
RF00209,0,0,1,0,0,0,0,0
RF00210,0,0,1,0,0,1,0,0
RF00228,0,0,1,0,0,1,1,0
RF00233,1,0,1,0,0,1,0,0
RF00234,0,15,5,0,0,2,1,1
RF00250,0,0,2,0,0,1,0,0
RF00254,0,0,1,0,0,1,0,0
RF00373,0,0,1,0,0,0,0,0
RF00374,0,0,1,0,0,0,0,0
RF00375,0,0,1,0,0,0,0,0
RF00379,0,16,13,0,0,3,1,1
RF00380,0,3,1,0,0,1,0,0
RF00386,0,0,5,0,0,4,0,0
RF00390,0,0,1,0,0,1,0,0
RF00442,1,10,6,0,0,4,0,1
RF00455,0,0,1,0,0,1,0,0
RF00458,0,0,6,0,0,1,0,0
RF00488,2,0,7,0,0,2,0,0
RF00500,0,0,1,0,0,0,0,0
RF00504,1,0,7,0,0,2,0,1
RF00505,0,0,1,0,0,1,0,0
RF00507,0,0,1,0,0,0,0,0
RF00525,0,0,1,0,0,1,0,0
RF00548,0,0,6,0,0,1,0,0
RF00622,0,0,2,0,0,1,0,0
RF00634,0,4,1,0,0,1,0,0
RF00661,0,0,1,0,0,0,0,0
RF00957,0,0,8,0,0,8,0,0
RF01047,0,0,1,0,0,0,0,0
RF01051,0,0,2,0,0,1,0,1
RF01054,0,0,1,0,0,0,0,0
RF01057,0,0,1,0,0,1,0,0
RF01073,0,0,1,0,0,0,0,0
RF01084,0,0,1,0,0,0,0,0
RF01344,0,0,4,0,0,1,0,0
RF01380,0,0,1,0,0,0,0,0
RF01415,0,0,1,0,0,1,0,1
RF01510,1,0,2,0,0,1,0,1
RF01684,0,0,5,0,0,4,0,0
RF01689,0,4,2,0,0,1,0,1
RF01704,0,0,1,0,0,1,0,0
RF01725,0,2,2,0,0,1,0,0
RF01727,0,1,1,0,0,0,0,1
RF01734,0,0,2,0,0,0,0,1
RF01739,0,0,1,0,0,0,0,0
RF01750,0,0,5,0,0,4,0,1
RF01763,0,13,3,0,0,0,0,1
RF01764,0,0,1,0,0,1,1,0
RF01786,0,2,1,0,0,1,0,1
RF01807,0,0,1,0,0,1,0,0
RF01826,1,1,1,0,0,1,0,1
RF01831,1,0,3,0,0,2,0,1
RF01846,0,0,30,0,0,9,0,0
RF01852,0,0,11,0,0,4,3,0
RF01854,1,4,2,0,0,1,0,0
RF01857,0,1,0,0,0,1,0,0
RF01959,3,0,5,0,0,3,0,0
RF01960,1,0,107,0,0,27,2,0
RF02001,0,52,6,0,0,3,0,1
RF02095,0,0,1,0,0,0,0,0
RF02253,0,0,1,0,0,1,0,0
RF02340,0,0,2,0,0,1,0,0
RF02348,0,0,1,0,0,0,0,0
RF02359,0,0,4,0,0,4,0,0
RF02519,1,0,1,0,0,1,0,0
RF02521,1,0,1,0,0,1,0,0
RF02540,0,1,10,0,0,3,0,0
RF02541,2,0,90,0,3,28,6,0
