RFAM_Family,Description,Clan_Accession,Clan_Description,rna_cm,rna_go,rna_if,rna_if_bench,rna_ligand,rna_prot,rna_site,rna_site_bench
NULL,No RFAM family,,,133,0,1466,0,0,788,145,51
RF00001,5S ribosomal RNA,CL00113,5S rRNA clan,5,0,107,0,23,17,3,0
RF00002,5.8S ribosomal RNA,CL00112,LSU clan,0,0,91,0,19,26,0,0
RF00003,U1 spliceosomal RNA,CL00005,U1 clan,0,1,2,0,0,1,0,0
RF00004,U2 spliceosomal RNA,CL00006,U2 clan,2,101,42,0,0,17,2,0
RF00005,tRNA,CL00001,tRNA clan,25,0,238,0,22,112,29,1
RF00007,U12 minor spliceosomal RNA,CL00006,U2 clan,0,1,2,0,0,1,1,0
RF00008,Hammerhead ribozyme (type III),CL00010,Hammerhead clan,0,0,5,0,0,2,0,0
RF00009,Nuclear RNase P,CL00002,RNaseP clan,0,0,0,0,0,1,0,0
RF00010,Bacterial RNase P class A,CL00002,RNaseP clan,0,0,3,0,0,1,0,0
RF00011,Bacterial RNase P class B,CL00002,RNaseP clan,0,0,3,0,0,2,0,0
RF00012,Small nucleolar RNA U3,CL00100,U3 clan,0,0,8,0,0,8,0,0
RF00013,6S / SsrS RNA,,,0,0,1,0,0,1,0,0
RF00015,U4 spliceosomal RNA,CL00007,U4 clan,0,14,5,0,0,0,0,0
RF00017,Metazoan signal recognition particle RNA,CL00003,SRP clan,2,13,7,0,0,1,1,0
RF00020,U5 spliceosomal RNA,,,0,27,10,0,0,6,1,0
RF00023,transfer-messenger RNA,CL00001,tRNA clan,1,0,2,0,0,2,0,0
RF00024,Vertebrate telomerase RNA,CL00004,Telomerase clan,0,0,6,0,0,4,0,0
RF00025,Ciliate telomerase RNA,CL00004,Telomerase clan,0,0,0,0,0,1,0,0
RF00026,U6 spliceosomal RNA,CL00009,U6 clan,1,93,56,0,0,15,2,0
RF00027,let-7 microRNA precursor,CL00148,let-7 microRNA precursor clan,0,0,10,0,0,6,1,0
RF00028,Group I catalytic intron,,,1,0,8,0,0,4,1,1
RF00029,Group II catalytic intron,,,0,3,4,0,0,3,0,0
RF00030,RNase MRP,CL00002,RNaseP clan,0,0,5,0,0,4,1,0
RF00032,Histone 3' UTR stem-loop,,,0,0,1,0,0,2,2,0
RF00036,HIV Rev response element,,,0,0,1,0,0,1,0,0
RF00037,Iron response element I,,,0,0,1,0,0,1,0,0
RF00044,3WJ core of Phi29 Bacteriophage pRNA,,,0,0,2,0,0,1,0,0
RF00050,FMN riboswitch aptamer (RFN element),,,1,0,4,0,0,1,0,1
RF00059,TPP riboswitch aptamer (THI element),,,1,0,6,0,0,2,0,1
RF00061,Hepatitis C virus internal ribosome entry site,CL00017,IRES1 clan,1,0,6,0,0,3,0,0
RF00075,mir-166 microRNA precursor,,,0,0,2,0,0,0,0,0
RF00080,Manganese Mn2+ riboswitch aptamer (yybP-ykoY),,,0,0,4,0,0,2,0,0
RF00083,GlmZ RNA activator of glmS mRNA,CL00011,Glm clan,0,0,4,0,0,3,0,0
RF00094,Hepatitis delta virus ribozyme,,,0,0,3,0,0,1,1,0
RF00100,7SK RNA,CL00013,7SK clan,1,0,7,0,0,2,1,0
RF00102,VA RNA,,,0,0,1,0,0,1,0,0
RF00162,SAM riboswitch aptamer (S box leader),CL00012,SAM clan,0,29,23,0,0,2,0,1
RF00163,Hammerhead ribozyme (type I),CL00010,Hammerhead clan,1,0,3,0,0,2,0,0
RF00164,Coronavirus 3' stem-loop II-like motif (s2m),CL00117,Coronavirus 3' UTR,0,0,1,0,0,1,0,0
RF00166,PrrB/RsmZ RNA family,CL00106,Csr-Rsm protein binding clan,0,0,1,0,0,0,0,0
RF00167,Purine riboswitch aptamer,CL00123,Purine riboswitches,1,58,24,0,0,2,0,0
RF00168,Lysine riboswitch aptamer,,,1,0,2,0,0,1,0,0
RF00169,Bacterial small signal recognition particle RNA,CL00003,SRP clan,1,11,12,0,0,2,2,0
