,residue,split,target
0,1a34.B.2,train,
1,1a34.B.1,train,
2,1a34.B.3,train,
3,1a34.B.4,train,
4,1a34.B.5,train,
5,1a34.B.6,train,
6,1a34.B.7,train,"{'name': 'U5P', 'id': ['H_U5P', 11, ' ']}"
7,1a34.B.8,train,"{'name': 'U5P', 'id': ['H_U5P', 11, ' ']}"
8,1a34.B.9,train,"{'name': 'U5P', 'id': ['H_U5P', 11, ' ']}"
9,1a34.B.10,train,
10,1a34.C.2,train,
11,1a34.C.1,train,
12,1a34.C.3,train,"{'name': 'U5P', 'id': ['H_U5P', 11, ' ']}"
13,1a34.C.4,train,
14,1a34.C.5,train,
15,1a34.C.6,train,
16,1a34.C.7,train,
17,1a34.C.8,train,
18,1a34.C.9,train,
19,1a34.C.10,train,
20,1asz.R.602,train,
21,1asz.R.601,train,
22,1asz.R.603,train,
23,1asz.R.604,train,
24,1asz.R.605,train,
25,1asz.R.606,train,
26,1asz.R.607,train,
27,1asz.R.608,train,
28,1asz.R.609,train,
29,1asz.R.610,train,
30,1asz.R.611,train,
31,1asz.R.612,train,
32,1asz.R.613,train,
33,1asz.R.614,train,
34,1asz.R.615,train,
35,1asz.R.616,train,
36,1asz.R.617,train,
37,1asz.R.618,train,
38,1asz.R.619,train,
39,1asz.R.620,train,
40,1asz.R.621,train,
41,1asz.R.622,train,
42,1asz.R.623,train,
43,1asz.R.624,train,
44,1asz.R.625,train,
45,1asz.R.626,train,
46,1asz.R.627,train,
47,1asz.R.628,train,
48,1asz.R.629,train,
49,1asz.R.630,train,
50,1asz.R.631,train,
51,1asz.R.632,train,
52,1asz.R.633,train,
53,1asz.R.634,train,
54,1asz.R.635,train,
55,1asz.R.636,train,
56,1asz.R.637,train,
57,1asz.R.638,train,
58,1asz.R.639,train,
59,1asz.R.640,train,
60,1asz.R.641,train,
61,1asz.R.642,train,
62,1asz.R.643,train,
63,1asz.R.644,train,
64,1asz.R.645,train,
65,1asz.R.646,train,
66,1asz.R.649,train,
67,1asz.R.648,train,
68,1asz.R.650,train,
69,1asz.R.651,train,
70,1asz.R.652,train,
71,1asz.R.653,train,
72,1asz.R.654,train,
73,1asz.R.655,train,
74,1asz.R.656,train,
75,1asz.R.657,train,
76,1asz.R.658,train,
77,1asz.R.659,train,
78,1asz.R.660,train,
79,1asz.R.661,train,
80,1asz.R.662,train,
