Clan_Accession,Clan_Description,Count,Percentage,Number_of_Families
No_Clan,Families without clan assignment,161,71.88%,16
CL00001,tRNA clan,32,14.29%,2
CL00112,LSU clan,7,3.12%,3
CL00111,SSU clan,6,2.68%,3
CL00003,SRP clan,5,2.23%,3
CL00113,5S rRNA clan,3,1.34%,1
CL00006,U2 clan,3,1.34%,2
CL00009,U6 clan,2,0.89%,1
CL00148,let-7 microRNA precursor clan,1,0.45%,1
CL00002,RNaseP clan,1,0.45%,1
CL00013,7SK clan,1,0.45%,1
CL00005,U1 clan,1,0.45%,1
CL00126,c-di-GMP_I riboswitch clan,1,0.45%,1
