Functional_Annotation,L1_Category,L1_Description,Count,Percentage
NULL,No annotation,No functional annotation found,693,48.50%
ribosomalrna,protein synthesis,component of protein synthesis translational machinery,205,14.35%
trna,protein synthesis,component of protein synthesis translational machinery,165,11.55%
codingrna,Unknown Category,,51,3.57%
snrna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,50,3.50%
snorna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,34,2.38%
vitaminswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,32,2.24%
purineswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,28,1.96%
nazyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",24,1.68%
rnaires,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,15,1.05%
fluoroaptamer,aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,11,0.77%
ribonucleasep,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",11,0.77%
virusna,virus NA,nucleic acid associated with virus infectivity or replication,11,0.77%
aptamer,aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,9,0.63%
natransfactor,transcription regulating,mRNA element or RNA complex component that regulates transcription,8,0.56%
srprna,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,8,0.56%
antiterminator,transcription regulating,mRNA element or RNA complex component that regulates transcription,6,0.42%
group1intron,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",6,0.42%
hammerhead,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",6,0.42%
ionswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,6,0.42%
aaswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,5,0.35%
tmrna,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,5,0.35%
group2intron,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",4,0.28%
selfreplicating,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",4,0.28%
telomere,telomeric DNA,telomeric DNA,4,0.28%
7sksnrna,transcription regulating,mRNA element or RNA complex component that regulates transcription,3,0.21%
frameshift,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,3,0.21%
hdvribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",3,0.21%
otherna,other/unknown,characterized non-coding nucleic acid with unassigned biological function,3,0.21%
glmsribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",2,0.14%
hivtar,transcription regulating,mRNA element or RNA complex component that regulates transcription,2,0.14%
replication,replication regulating,nucleic acid element or complex component that regulates genomic or plasmid replication,2,0.14%
riboswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,2,0.14%
translatemod,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,2,0.14%
abswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,1,0.07%
cellsorting,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,1,0.07%
hairpin,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",1,0.07%
olerna,other/unknown,characterized non-coding nucleic acid with unassigned biological function,1,0.07%
posttranscription,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,1,0.07%
vsribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",1,0.07%
