L1_Category,L1_Description,Count,Percentage,Number_of_Annotations
No annotation,No functional annotation found,693,48.50%,1
protein synthesis,component of protein synthesis translational machinery,370,25.89%,2
post-transcriptional processing,nucleic acid involved in processing RNA transcripts,86,6.02%,4
riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,74,5.18%,6
catalytic,"nucleic acid enzyme, ribozyme or dnazyme",62,4.34%,10
Unknown Category,,51,3.57%,1
translation regulating,mRNA element or RNA complex component that regulates protein synthesis,33,2.31%,5
aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,20,1.40%,2
transcription regulating,mRNA element or RNA complex component that regulates transcription,19,1.33%,4
virus NA,nucleic acid associated with virus infectivity or replication,11,0.77%,1
telomeric DNA,telomeric DNA,4,0.28%,1
other/unknown,characterized non-coding nucleic acid with unassigned biological function,4,0.28%,2
replication regulating,nucleic acid element or complex component that regulates genomic or plasmid replication,2,0.14%,1
