RFAM_Family,Description,Clan_Accession,Clan_Description,Count,Percentage
NULL,No RFAM family,,,133,67.51%
RF00005,tRNA,CL00001,tRNA clan,25,12.69%
RF00001,5S ribosomal RNA,CL00113,5S rRNA clan,5,2.54%
RF00004,U2 spliceosomal RNA,CL00006,U2 clan,2,1.02%
RF00017,Metazoan signal recognition particle RNA,CL00003,SRP clan,2,1.02%
RF03160,type-P1 twister ribozyme,CL00120,twister ribozyme,2,1.02%
RF00023,transfer-messenger RNA,CL00001,tRNA clan,1,0.51%
RF00026,U6 spliceosomal RNA,CL00009,U6 clan,1,0.51%
RF00028,Group I catalytic intron,,,1,0.51%
RF00050,FMN riboswitch aptamer (RFN element),,,1,0.51%
RF00059,TPP riboswitch aptamer (THI element),,,1,0.51%
RF00061,Hepatitis C virus internal ribosome entry site,CL00017,IRES1 clan,1,0.51%
RF00100,7SK RNA,CL00013,7SK clan,1,0.51%
RF00163,Hammerhead ribozyme (type I),CL00010,Hammerhead clan,1,0.51%
RF00167,Purine riboswitch aptamer,CL00123,Purine riboswitches,1,0.51%
RF00168,Lysine riboswitch aptamer,,,1,0.51%
RF00169,Bacterial small signal recognition particle RNA,CL00003,SRP clan,1,0.51%
RF00174,Cobalamin riboswitch aptamer,CL00101,Cobalamin clan,1,0.51%
RF00177,Bacterial small subunit ribosomal RNA,CL00111,SSU clan,1,0.51%
RF00233,Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element,,,1,0.51%
RF00442,Guanidine-I riboswitch aptamer,,,1,0.51%
RF00504,Glycine riboswitch aptamer,CL00125,Glycine riboswitch clan,1,0.51%
RF01510,2dG-I riboswitch aptamer (M. florum),CL00123,Purine riboswitches,1,0.51%
RF01826,SAM-V (S-adenosyl methionine) riboswitch aptamer,,,1,0.51%
RF01831,THF (Tetrahydrofolate) riboswitch aptamer,,,1,0.51%
RF01854,Bacterial large signal recognition particle RNA,CL00003,SRP clan,1,0.51%
RF01857,Archaeal signal recognition particle RNA,CL00003,SRP clan,1,0.51%
RF01959,Archaeal small subunit ribosomal RNA,CL00111,SSU clan,1,0.51%
RF02519,ToxI antitoxin,,,1,0.51%
RF02521,Panicum mosaic virus cap-independent translation enhancer RNA (PTE),,,1,0.51%
RF02543,Eukaryotic large subunit ribosomal RNA,CL00112,LSU clan,1,0.51%
RF02545,Trypanosomatid mitochondrial small subunit ribosomal RNA,CL00111,SSU clan,1,0.51%
RF04190,Hairpin ribozyme 1 from viruses-like metatranscriptomes,,,1,0.51%
RF04222,Flavivirus Potato leading responsible virus exoribonuclease-resistant RNA,,,1,0.51%
