Clan_Accession,Clan_Description,Count,Percentage,Number_of_Families
No_Clan,Families without clan assignment,145,73.60%,13
CL00001,tRNA clan,26,13.20%,2
CL00113,5S rRNA clan,5,2.54%,1
CL00003,SRP clan,5,2.54%,4
CL00111,SSU clan,3,1.52%,3
CL00006,U2 clan,2,1.02%,1
CL00120,twister ribozyme,2,1.02%,1
CL00123,Purine riboswitches,2,1.02%,2
CL00009,U6 clan,1,0.51%,1
CL00017,IRES1 clan,1,0.51%,1
CL00013,7SK clan,1,0.51%,1
CL00010,Hammerhead clan,1,0.51%,1
CL00101,Cobalamin clan,1,0.51%,1
CL00125,Glycine riboswitch clan,1,0.51%,1
CL00112,LSU clan,1,0.51%,1
