RFAM_Family,Description,Clan_Accession,Clan_Description,Count,Percentage
NULL,No RFAM family,,,51,67.11%
RF00250,Trans-activation response element (TAR),,,2,2.63%
RF00005,tRNA,CL00001,tRNA clan,1,1.32%
RF00028,Group I catalytic intron,,,1,1.32%
RF00050,FMN riboswitch aptamer (RFN element),,,1,1.32%
RF00059,TPP riboswitch aptamer (THI element),,,1,1.32%
RF00162,SAM riboswitch aptamer (S box leader),CL00012,SAM clan,1,1.32%
RF00234,glmS glucosamine-6-phosphate activated ribozyme aptamer,,,1,1.32%
RF00379,c-di-AMP riboswitch aptamer (ydaO/yuaA leader),,,1,1.32%
RF00442,Guanidine-I riboswitch aptamer,,,1,1.32%
RF00504,Glycine riboswitch aptamer,CL00125,Glycine riboswitch clan,1,1.32%
RF00522,PreQ1 (pre queuosine) riboswitch aptamer,,,1,1.32%
RF01051,c-di-GMP-I riboswitch aptamer,CL00126,c-di-GMP_I riboswitch clan,1,1.32%
RF01415,Flavivirus 3'UTR stem loop IV,,,1,1.32%
RF01510,2dG-I riboswitch aptamer (M. florum),CL00123,Purine riboswitches,1,1.32%
RF01689,AdoCbl-II (Cobalamin/B12) riboswitch aptamer,CL00101,Cobalamin clan,1,1.32%
RF01727,SAM/SAH riboswitch aptamer,,,1,1.32%
RF01734,Fluoride riboswitch aptamer (crcB RNA motif),,,1,1.32%
RF01750,ZMP/ZTP riboswitch aptamer (pfl RNA motif),,,1,1.32%
RF01763,Guanidine-III riboswitch aptamer (yKKC-III),,,1,1.32%
RF01786,Cyclic di-GMP-II riboswitch aptamer,CL00127,c-di-GMP_II riboswitch clan,1,1.32%
RF01826,SAM-V (S-adenosyl methionine) riboswitch aptamer,,,1,1.32%
RF01831,THF (Tetrahydrofolate) riboswitch aptamer,,,1,1.32%
RF02001,Group II catalytic intron D1-D4-3,CL00102,Group II catalytic intron D1-D4 clan,1,1.32%
RF03160,type-P1 twister ribozyme,CL00120,twister ribozyme,1,1.32%
